M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   before StaticCheck: MultiDriverCheck  : M=1695.31mb, Malloc-M=480mb, Available-M=43647mb, T=0s CPU=0s W=(2024-12-07 00:18:53)
STATS:: |   after  StaticCheck: MultiDriverCheck  : M=1695.31mb, Malloc-M=480mb, Available-M=43644mb, T=0s CPU=0s W=(2024-12-07 00:18:53)
STATS:: after  StaticCheck: StaticCheckProcess : M=1695.31mb, Malloc-M=470mb, Available-M=43643mb, T=1s CPU=0.02s W=(2024-12-07 00:18:53)
STATS:: before populate SSF data: M=1695.31mb, Malloc-M=470mb, Available-M=43776mb, T=0s CPU=0s W=(2024-12-07 00:18:53)
STATS:: after  populate SSF data: M=1695.31mb, Malloc-M=470mb, Available-M=43776mb, T=0s CPU=0s W=(2024-12-07 00:18:53)
STATS:: before DumpGateCountStats : M=1695.31mb, Malloc-M=470mb, Available-M=43774mb, T=0s CPU=0s W=(2024-12-07 00:18:53)
STATS:: after  DumpGateCountStats : M=1695.31mb, Malloc-M=470mb, Available-M=43771mb, T=0s CPU=0s W=(2024-12-07 00:18:53)
STATS:: before ModuleDesignPropagation : M=1695.31mb, Malloc-M=479mb, Available-M=43771mb, T=0s CPU=0s W=(2024-12-07 00:18:53)
STATS:: after  ModuleDesignPropagation : M=1695.31mb, Malloc-M=479mb, Available-M=43770mb, T=0s CPU=0s W=(2024-12-07 00:18:53)
STATS:: before sim build substep: M=1697.39mb, Malloc-M=482mb, Available-M=43755mb, T=0s CPU=0s W=(2024-12-07 00:18:53)
STATS:: after  sim build substep: M=1706.05mb, Malloc-M=490mb, Available-M=43746mb, T=0s CPU=0.02s W=(2024-12-07 00:18:53)
STATS:: before sim run substep: M=1706.05mb, Malloc-M=490mb, Available-M=43743mb, T=0s CPU=0s W=(2024-12-07 00:18:53)
STATS:: after  sim run substep: M=1710.14mb, Malloc-M=495mb, Available-M=43739mb, T=0s CPU=0.01s W=(2024-12-07 00:18:53)
STATS:: before sim_save_reset : M=1710.21mb, Malloc-M=495mb, Available-M=43735mb, T=0s CPU=0s W=(2024-12-07 00:18:53)
STATS:: after  sim_save_reset : M=1719.89mb, Malloc-M=483mb, Available-M=43749mb, T=0s CPU=0.01s W=(2024-12-07 00:18:53)
STATS:: before Check: check_fv : M=1719.89mb, Malloc-M=483mb, Available-M=43256mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   before Check: BuildFormal : M=1719.89mb, Malloc-M=483mb, Available-M=43256mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   before Check: Init : M=1719.89mb, Malloc-M=483mb, Available-M=43256mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   after  Check: Init : M=1719.89mb, Malloc-M=483mb, Available-M=43256mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   before Check: ResetSetup : M=1719.89mb, Malloc-M=483mb, Available-M=43256mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before Check: EnvInstrumentation : M=1719.89mb, Malloc-M=483mb, Available-M=43257mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  Check: EnvInstrumentation : M=1719.89mb, Malloc-M=483mb, Available-M=43257mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   after  Check: ResetSetup : M=1719.89mb, Malloc-M=483mb, Available-M=43257mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   before Check: BotEotInstr : M=1719.89mb, Malloc-M=483mb, Available-M=43256mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   after  Check: BotEotInstr : M=1719.89mb, Malloc-M=483mb, Available-M=43254mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   before Check: VPSetup : M=1719.89mb, Malloc-M=483mb, Available-M=43253mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   after  Check: VPSetup : M=1719.89mb, Malloc-M=483mb, Available-M=43252mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
