(2024-12-07 00:19:00),0.359458,0,start,1719.89,483,DfgBuild: ValidateNLDMOperators : 
(2024-12-07 00:19:00),0.359547,0,end,1719.89,483,DfgBuild: ValidateNLDMOperators : 
(2024-12-07 00:19:00),0.35962,0,end,1719.89,483,DfgBuild: Setup : 
(2024-12-07 00:19:00),0.359682,0,start,1719.89,483,DfgBuild: ReuseCheck : 
(2024-12-07 00:19:00),0.359774,0,end,1719.89,483,DfgBuild: ReuseCheck : 
(2024-12-07 00:19:00),0.359841,0,start,1719.89,483,DfgBuild: Flatten : 
(2024-12-07 00:19:00),0.360015,0,end,1719.89,492,DfgBuild: Flatten : 
(2024-12-07 00:19:00),0.360114,0,start,1719.89,492,DfgBuild: ClockSetup : 
(2024-12-07 00:19:00),0.360184,0,end,1719.89,492,DfgBuild: ClockSetup : 
(2024-12-07 00:19:00),0.360251,0,start,1719.89,492,DfgBuild: Modeling : 
(2024-12-07 00:19:00),0.360337,0,end,1719.89,492,DfgBuild: Modeling : 
(2024-12-07 00:19:00),0.36041,0,start,1719.89,492,DfgBuild: FlatRemodel : 
(2024-12-07 00:19:00),0.360513,0,start,1719.89,492,DfgBuild: XpropProperties : 
(2024-12-07 00:19:00),0.360628,0,end,1719.89,492,DfgBuild: XpropProperties : 
(2024-12-07 00:19:00),0.360714,0,end,1719.89,492,DfgBuild: FlatRemodel : 
(2024-12-07 00:19:00),0.360795,0,start,1719.89,492,DfgBuild: NldfgBuild : 
(2024-12-07 00:19:00),0.360899,0,end,1719.89,492,DfgBuild: NldfgBuild : 
(2024-12-07 00:19:00),0.361041,0,start,1719.89,492,NldfgBuild : Print statistics 
(2024-12-07 00:19:00),0.361135,0,end,1719.89,492,NldfgBuild : Print statistics 
(2024-12-07 00:19:00),0.361259,0,start,1719.89,492,NldfgBuild : Cutpoint Insertion 
(2024-12-07 00:19:00),0.361387,0,end,1719.89,492,NldfgBuild : Cutpoint Insertion 
(2024-12-07 00:19:00),0.361501,0,start,1719.89,492,NldfgBuild : Compute net equivalences 
(2024-12-07 00:19:00),0.361588,0,end,1719.89,492,NldfgBuild : Compute net equivalences 
(2024-12-07 00:19:00),0.36166,0,start,1719.89,492,NldfgBuild : Eliminate bidirectionals 
(2024-12-07 00:19:00),0.361736,0,end,1719.89,492,NldfgBuild : Eliminate bidirectionals 
(2024-12-07 00:19:00),0.361822,0,start,1719.89,492,NldfgBuild : Remove false combo loops 
